,ID,Date,Likes,Content
190,1514506095347208196,2022-04-14 07:29:25+00:00,113826,"To the world we present the much awaited magnum opus #KGFChapter2

#KGF2InCinemas near you.

@Thenameisyash @prashanth_neel @VKiragandur @hombalefilms @duttsanjay @TandonRaveena
@SrinidhiShetty7 @excelmovies @AAFilmsIndia @VaaraahiCC @DreamWarriorpic @PrithvirajProd https://t.co/uQptYdnPSZ"
91,1516338149256953858,2022-04-19 08:49:21+00:00,88185,"Me right now for all the love I am receiving 🤗♥️♥️

My heart is full♥️ #grateful 💫💥

#KGFChapter2 #KGF ♥️ https://t.co/ORjBcQ72j8"
32,1532343141537222656,2022-06-02 12:47:29+00:00,79370,"50days of pure celebration 🙏🏻♥️
Truly grateful for all the love ✨️♥️🙏🏻

#KGF2blockbuster50days #KGFChapter2 https://t.co/b1XLa1iYxp"
54,1521112798289285120,2022-05-02 13:02:06+00:00,59935,"This one's for #AshwinMawle #HassanKhan &amp; entire team💥
From all those initial meetings to creating these wonderful outfits to numerous fittings,u guys have made #Reena so memorable for me♥️
Thankyou for showing #Reena in the brightest of colors💫
#KGFChapter2 #Reena #Stylefiles https://t.co/76og6wVKjs"
200,1514449748551299076,2022-04-14 03:45:31+00:00,57879,"#OneWordReview...
#KGF2: BLOCKBUSTER.
Rating: ⭐️⭐⭐️⭐️½
#KGFChapter2 is a WINNER, more than lives up to the humongous hype… #PrashanthNeel immerses us into the world of #KGF2, delivers a KING-SIZED ENTERTAINER… MUST, MUST, MUST WATCH. #KGF2Review https://t.co/Bsg2NKEmrh"
264,1508069084411293700,2022-03-27 13:11:02+00:00,53347,"The next big storm is here !! 
All the best @TheNameIsYash and @prashanth_neel 
Looking forward to the next chapter of #KGFchapter2 
Here’s the trailer: 

https://t.co/hI9IbywcJH

@hombalefilms @HombaleGroup 
@VKiragandur @duttsanjay @TandonRaveena @SrinidhiShetty7 @excelmovies https://t.co/3rIZlE8iIB"
262,1508069394160631808,2022-03-27 13:12:16+00:00,52858,"The world is my territory!

Hindi: https://t.co/aO15hx9xRi

#KGFChapter2  @prashanth_neel 
@VKiragandur https://t.co/1oLtyiPvsA"
85,1516847962327961600,2022-04-20 18:35:10+00:00,52446,"Now you know why were the visuals soooo good💁🏻‍♀️😬

You are welcome bhu💁🏻‍♀️🙌🤣

@bhuvangowda84 🙈
#KGFChapter2 https://t.co/52R8Tp5TJW"
346,1316959656435220480,2020-10-16 04:30:24+00:00,48792,Gearing up for #Adheera!⚔️ #KGFChapter2 https://t.co/Yd2FHSUUYn
72,1517812166606213120,2022-04-23 10:26:34+00:00,44042,"My fav trio ♥️🧸💥

@bhuvangowda84 @prashanth_neel @kirtannadagouda #KGFChapter2 https://t.co/DS60PIieWH"
350,1288330843073605634,2020-07-29 04:29:43+00:00,43056,"‘ADHEERA’ - Inspired by the brutal ways of the vikings⚔🔥
Happy Birthday @duttsanjay baba, thank you for being a part of #KGFCHAPTER2. Looking forward to our craziest schedule soon. 
#AdheeraFirstLook
@VKiragandur @TheNameIsYash @SrinidhiShetty7 @bhuvangowda84 @BasrurRavi https://t.co/99eZIivhii"
289,1494272919681351683,2022-02-17 11:30:00+00:00,41578,"On popular demand. 😉

Chapter 2️⃣0️⃣2️⃣2️⃣ coming soon! 🔥

#PlayBold #WeAreChallengers #ClassOf2022 #IPL2022 #KGFChapter2 https://t.co/8wFn1PVheM"
